sced_timestamp,market,location,location_type,lmp
2023-01-08 13:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.28
2023-01-08 14:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,25.71
2023-01-08 15:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.86
2023-01-08 16:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.41
2023-01-08 17:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.33
2023-01-08 18:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.05
2023-01-08 19:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.16
2023-01-08 20:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.75
2023-01-08 21:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.67
2023-01-08 22:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.83
2023-01-08 23:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.97
2023-01-09 00:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.52
2023-01-09 01:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.23
2023-01-09 02:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.18
2023-01-09 03:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.56
2023-01-09 04:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.36
2023-01-09 05:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.72
2023-01-09 06:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.71
2023-01-09 07:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.01
2023-01-09 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0
2023-01-09 09:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.36
2023-01-09 10:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.49
2023-01-09 11:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.69
2023-01-09 12:00:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.46
2023-01-09 13:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.97
2023-01-09 14:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.38
2023-01-09 15:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,6.79
2023-01-09 16:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.69
2023-01-09 17:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.21
2023-01-09 18:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.08
2023-01-09 19:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.58
2023-01-09 20:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.53
2023-01-09 21:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.9
2023-01-09 22:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.8
2023-01-09 23:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.33
2023-01-10 00:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,33.93
2023-01-10 01:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.83
2023-01-10 02:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,27.17
2023-01-10 03:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.97
2023-01-10 04:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.49
2023-01-10 05:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.9
2023-01-10 06:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.49
2023-01-10 07:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.83
2023-01-10 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,4.71
2023-01-10 09:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,5.15
2023-01-10 10:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,3.51
2023-01-10 11:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.75
2023-01-10 12:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.74
2023-01-10 13:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.22
2023-01-10 14:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.05
2023-01-10 15:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.2
2023-01-10 16:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.75
2023-01-10 17:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.41
2023-01-10 18:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.58
2023-01-10 19:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.91
2023-01-10 20:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.27
2023-01-10 21:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.79
2023-01-10 22:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.52
2023-01-10 23:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.71
2023-01-11 00:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.25
2023-01-11 01:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.5
2023-01-11 02:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,6.39
2023-01-11 03:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,6.63
2023-01-11 04:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.29
2023-01-11 05:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.76
2023-01-11 06:00:37+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.54
2023-01-11 07:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.28
2023-01-11 08:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.28
2023-01-11 09:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.6
2023-01-11 10:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.83
2023-01-11 11:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.76
2023-01-11 12:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,42.93
2023-01-11 13:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,28.29
2023-01-11 14:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,17.32
2023-01-11 15:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.97
2023-01-11 16:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.86
2023-01-11 17:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.72
2023-01-11 18:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,3.17
2023-01-11 19:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.3
2023-01-11 20:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.37
2023-01-11 21:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.18
2023-01-11 22:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.4
2023-01-11 23:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.82
2023-01-12 00:00:22+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.75
2023-01-12 01:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.08
2023-01-12 02:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.49
2023-01-12 03:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.13
2023-01-12 04:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.09
2023-01-12 05:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.05
2023-01-12 06:00:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.39
2023-01-12 07:00:23+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-6
2023-01-12 08:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.98
2023-01-12 09:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.6
2023-01-12 10:00:22+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.28
2023-01-12 11:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.84
2023-01-12 12:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.38
2023-01-12 13:00:22+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.06
