id,year,zip_code,city,state,climate,building_class,facility_type,floor_area,year_built,energy_star_rating,leed_score,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int
116,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,56,,32.24902309,30.82391499,63.07293808,133.6270432,4.446726903
116,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,48,,33.65504118,41.17718294,74.83222412,148.9128714,5.092154165
116,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,65,,30.9910971,37.93040938,68.92150648,137.1389747,4.665807307
116,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,72,,28.62621933,37.4702763,66.09649563,129.2301188,4.728495077
116,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,96,,22.99651075,19.13074052,42.12725127,92.2963213,2.861830405
116,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,83,,28.04058665,28.19274154,56.23332819,117.6498207,3.877456703
117,2015,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,51,,35.3807298,55.99807915,91.37880896,169.8934747,6.660150215
117,2016,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,53,,34.82358886,54.3319947,89.15558356,166.3946635,5.919550901
117,2017,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,58,,34.96684459,54.93752816,89.90437275,167.4802966,5.93620283
117,2018,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,34,,33.6806131,53.75989989,87.44051299,162.20502,5.736654499
117,2019,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,37,,32.96185222,52.72957632,85.69142854,158.8662711,5.953789687
117,2020,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,84,,23.71772474,27.27690035,50.99462509,103.1144011,3.352360625
117,2021,98105,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,60953,1962,70,,24.85550272,,66.304488,121.5677131,4.311139614
118,2015,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,85,,21.12881335,3.504918231,24.63373158,70.02463806,2.387264762
118,2016,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,,,22.47321081,0,22.47321081,70.56588195,1.957960891
118,2017,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,94,,22.78674226,0.014777704,22.80151996,71.56588727,1.96782429
118,2018,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,82,,21.31875968,,26.72072239,72.61296625,2.11080869
118,2019,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,78,,22.07827987,,30.43415599,78.09946872,2.555847096
118,2020,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,87,,17.53599526,,27.77672727,65.81579371,1.951398089
118,2021,98106,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Education - Other classroom,75364,1999,70,,23.36250116,,35.79920834,86.41679617,2.643568612
